"Average monthly earnings by municipalities, Slovenia, annually"

"MUNICIPALITIES"	"Average monthly gross earnings 2005"	"Average monthly gross earnings 2006"	"Average monthly gross earnings 2007"	"Average monthly gross earnings 2008"	"Average monthly gross earnings 2009"	"Average monthly gross earnings 2010"	"Average monthly gross earnings 2011"	"Average monthly gross earnings 2012"	"Average monthly gross earnings 2013"	"Average monthly gross earnings 2014"	"Average monthly gross earnings 2015"	"Average monthly gross earnings 2016"	"Average monthly gross earnings 2017"	"Average monthly gross earnings 2018"	"Average monthly gross earnings 2019"	"Average monthly net earnings 2005"	"Average monthly net earnings 2006"	"Average monthly net earnings 2007"	"Average monthly net earnings 2008"	"Average monthly net earnings 2009"	"Average monthly net earnings 2010"	"Average monthly net earnings 2011"	"Average monthly net earnings 2012"	"Average monthly net earnings 2013"	"Average monthly net earnings 2014"	"Average monthly net earnings 2015"	"Average monthly net earnings 2016"	"Average monthly net earnings 2017"	"Average monthly net earnings 2018"	"Average monthly net earnings 2019"	"Index of average monthly gross earnings 2005"	"Index of average monthly gross earnings 2006"	"Index of average monthly gross earnings 2007"	"Index of average monthly gross earnings 2008"	"Index of average monthly gross earnings 2009"	"Index of average monthly gross earnings 2010"	"Index of average monthly gross earnings 2011"	"Index of average monthly gross earnings 2012"	"Index of average monthly gross earnings 2013"	"Index of average monthly gross earnings 2014"	"Index of average monthly gross earnings 2015"	"Index of average monthly gross earnings 2016"	"Index of average monthly gross earnings 2017"	"Index of average monthly gross earnings 2018"	"Index of average monthly gross earnings 2019"	"Index of average monthly net earnings 2005"	"Index of average monthly net earnings 2006"	"Index of average monthly net earnings 2007"	"Index of average monthly net earnings 2008"	"Index of average monthly net earnings 2009"	"Index of average monthly net earnings 2010"	"Index of average monthly net earnings 2011"	"Index of average monthly net earnings 2012"	"Index of average monthly net earnings 2013"	"Index of average monthly net earnings 2014"	"Index of average monthly net earnings 2015"	"Index of average monthly net earnings 2016"	"Index of average monthly net earnings 2017"	"Index of average monthly net earnings 2018"	"Index of average monthly net earnings 2019"	"Average earnings for overtime work 2005"	"Average earnings for overtime work 2006"	"Average earnings for overtime work 2007"	"Average earnings for overtime work 2008"	"Average earnings for overtime work 2009"	"Average earnings for overtime work 2010"	"Average earnings for overtime work 2011"	"Average earnings for overtime work 2012"	"Average earnings for overtime work 2013"	"Average earnings for overtime work 2014"	"Average earnings for overtime work 2015"	"Average earnings for overtime work 2016"	"Average earnings for overtime work 2017"	"Average earnings for overtime work 2018"	"Average earnings for overtime work 2019"	"Average monthly gross earnings per paid hour 2005"	"Average monthly gross earnings per paid hour 2006"	"Average monthly gross earnings per paid hour 2007"	"Average monthly gross earnings per paid hour 2008"	"Average monthly gross earnings per paid hour 2009"	"Average monthly gross earnings per paid hour 2010"	"Average monthly gross earnings per paid hour 2011"	"Average monthly gross earnings per paid hour 2012"	"Average monthly gross earnings per paid hour 2013"	"Average monthly gross earnings per paid hour 2014"	"Average monthly gross earnings per paid hour 2015"	"Average monthly gross earnings per paid hour 2016"	"Average monthly gross earnings per paid hour 2017"	"Average monthly gross earnings per paid hour 2018"	"Average monthly gross earnings per paid hour 2019"	"Average monthly net earnings per paid hour 2005"	"Average monthly net earnings per paid hour 2006"	"Average monthly net earnings per paid hour 2007"	"Average monthly net earnings per paid hour 2008"	"Average monthly net earnings per paid hour 2009"	"Average monthly net earnings per paid hour 2010"	"Average monthly net earnings per paid hour 2011"	"Average monthly net earnings per paid hour 2012"	"Average monthly net earnings per paid hour 2013"	"Average monthly net earnings per paid hour 2014"	"Average monthly net earnings per paid hour 2015"	"Average monthly net earnings per paid hour 2016"	"Average monthly net earnings per paid hour 2017"	"Average monthly net earnings per paid hour 2018"	"Average monthly net earnings per paid hour 2019"	"Index of average monthly gross earnings per paid hour 2005"	"Index of average monthly gross earnings per paid hour 2006"	"Index of average monthly gross earnings per paid hour 2007"	"Index of average monthly gross earnings per paid hour 2008"	"Index of average monthly gross earnings per paid hour 2009"	"Index of average monthly gross earnings per paid hour 2010"	"Index of average monthly gross earnings per paid hour 2011"	"Index of average monthly gross earnings per paid hour 2012"	"Index of average monthly gross earnings per paid hour 2013"	"Index of average monthly gross earnings per paid hour 2014"	"Index of average monthly gross earnings per paid hour 2015"	"Index of average monthly gross earnings per paid hour 2016"	"Index of average monthly gross earnings per paid hour 2017"	"Index of average monthly gross earnings per paid hour 2018"	"Index of average monthly gross earnings per paid hour 2019"	"Index of average monthly net earnings per paid hour 2005"	"Index of average monthly net earnings per paid hour 2006"	"Index of average monthly net earnings per paid hour 2007"	"Index of average monthly net earnings per paid hour 2008"	"Index of average monthly net earnings per paid hour 2009"	"Index of average monthly net earnings per paid hour 2010"	"Index of average monthly net earnings per paid hour 2011"	"Index of average monthly net earnings per paid hour 2012"	"Index of average monthly net earnings per paid hour 2013"	"Index of average monthly net earnings per paid hour 2014"	"Index of average monthly net earnings per paid hour 2015"	"Index of average monthly net earnings per paid hour 2016"	"Index of average monthly net earnings per paid hour 2017"	"Index of average monthly net earnings per paid hour 2018"	"Index of average monthly net earnings per paid hour 2019"	"Persons in paid employment with overdue payments 2005"	"Persons in paid employment with overdue payments 2006"	"Persons in paid employment with overdue payments 2007"	"Persons in paid employment with overdue payments 2008"	"Persons in paid employment with overdue payments 2009"	"Persons in paid employment with overdue payments 2010"	"Persons in paid employment with overdue payments 2011"	"Persons in paid employment with overdue payments 2012"	"Persons in paid employment with overdue payments 2013"	"Persons in paid employment with overdue payments 2014"	"Persons in paid employment with overdue payments 2015"	"Persons in paid employment with overdue payments 2016"	"Persons in paid employment with overdue payments 2017"	"Persons in paid employment with overdue payments 2018"	"Persons in paid employment with overdue payments 2019"	"Persons in paid employment who worked overtime 2005"	"Persons in paid employment who worked overtime 2006"	"Persons in paid employment who worked overtime 2007"	"Persons in paid employment who worked overtime 2008"	"Persons in paid employment who worked overtime 2009"	"Persons in paid employment who worked overtime 2010"	"Persons in paid employment who worked overtime 2011"	"Persons in paid employment who worked overtime 2012"	"Persons in paid employment who worked overtime 2013"	"Persons in paid employment who worked overtime 2014"	"Persons in paid employment who worked overtime 2015"	"Persons in paid employment who worked overtime 2016"	"Persons in paid employment who worked overtime 2017"	"Persons in paid employment who worked overtime 2018"	"Persons in paid employment who worked overtime 2019"
"SLOVENIA"	1157.07	1212.80	1284.79	1391.43	1438.96	1494.88	1524.65	1525.47	1523.18	1540.25	1555.89	1584.66	1626.95	1681.55	1753.84	735.73	773.42	834.50	899.80	930.00	966.62	987.39	991.44	997.01	1005.41	1013.23	1030.16	1062.00	1092.74	1133.50	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	7.08	7.33	7.84	8.87	11.47	11.35	11.40	11.67	11.56	11.52	11.78	12.14	12.28	12.77	13.99	6.82	7.14	7.55	8.18	8.58	8.87	9.08	9.07	9.07	9.18	9.27	9.45	9.73	10.05	10.51	4.33	4.55	4.91	5.29	5.54	5.74	5.88	5.90	5.94	5.99	6.04	6.14	6.35	6.53	6.79	-	104.7	105.7	108.3	104.9	103.4	102.4	99.9	100.0	101.2	100.9	101.9	103.0	103.3	104.6	-	105.1	107.9	107.7	104.7	103.6	102.4	100.3	100.7	100.4	100.7	101.7	103.4	102.8	104.0	8.6	7.6	8.5	9.0	10.4	11.4	9.9	10.1	10.1	9.8	10.3	14.6	13.6	13.0	13.8	15.8	17.3	18.4	16.8	11.2	12.9	13.3	12.4	12.3	13.1	13.7	14.4	15.8	16.3	15.4
"Ajdovšèina"	1061.99	1119.82	1212.73	1304.82	1327.38	1381.02	1420.68	1372.73	1369.08	1381.31	1396.38	1437.43	1471.64	1523.35	1601.13	695.29	731.76	803.17	861.14	875.66	917.59	953.70	922.82	927.51	934.23	941.89	964.50	987.79	1014.56	1055.98	91.8	92.3	94.4	93.8	92.2	92.4	93.2	90.0	89.9	89.7	89.7	90.7	90.5	90.6	91.3	94.5	94.6	96.2	95.7	94.2	94.9	96.6	93.1	93.0	92.9	93.0	93.6	93.0	92.8	93.2	6.35	6.18	6.83	7.54	7.28	8.14	9.18	8.53	9.16	9.73	10.95	10.58	10.90	11.59	12.18	6.23	6.54	7.04	7.61	7.83	8.17	8.50	8.17	8.19	8.24	8.32	8.55	8.78	9.04	9.48	4.08	4.27	4.66	5.02	5.17	5.43	5.70	5.49	5.55	5.57	5.61	5.73	5.89	6.02	6.25	-	105.0	107.6	108.1	102.9	104.3	104.0	96.1	100.2	100.6	101.1	102.8	102.7	103.0	104.9	-	104.7	109.1	107.7	103.0	105.0	105.0	96.3	101.1	101.0	100.9	102.1	102.8	102.2	103.8	5.4	5.0	9.2	8.3	13.5	12.6	23.8	12.8	9.5	8.2	6.4	10.3	8.4	6.4	6.8	23.6	22.4	26.5	22.0	15.7	12.9	11.5	13.3	9.0	10.8	12.3	14.6	15.6	17.7	18.2
"Ankaran"	-	-	-	-	-	-	-	-	-	-	1451.99	1523.57	1583.74	1654.04	1722.55	-	-	-	-	-	-	-	-	-	-	946.57	992.70	1031.90	1073.09	1113.57	-	-	-	-	-	-	-	-	-	-	93.3	96.1	97.3	98.4	98.2	-	-	-	-	-	-	-	-	-	-	93.4	96.4	97.2	98.2	98.2	-	-	-	-	-	-	-	-	-	-	17.56	17.39	18.61	19.92	20.98	-	-	-	-	-	-	-	-	-	-	8.69	9.02	9.44	9.77	10.20	-	-	-	-	-	-	-	-	-	-	5.67	5.88	6.15	6.34	6.59	-	-	-	-	-	-	-	-	-	-	-	103.8	104.7	103.5	104.4	-	-	-	-	-	-	-	-	-	-	-	103.7	104.6	103.1	103.9	-	-	-	-	-	-	-	-	-	-	4.0	11.5	17.6	21.7	22.4	-	-	-	-	-	-	-	-	-	-	18.0	21.5	20.5	21.4	19.3
"Apaèe"	971.16	1012.75	1104.13	1231.75	1286.72	1315.45	1288.35	1256.42	1281.09	1264.54	1294.76	1363.81	1391.33	1411.60	1463.82	650.85	680.35	747.81	829.80	863.03	883.93	870.53	852.28	871.73	859.97	871.31	918.21	935.39	946.65	978.90	83.9	83.5	85.9	88.5	89.4	88.0	84.5	82.4	84.1	82.1	83.2	86.1	85.5	83.9	83.5	88.5	88.0	89.6	92.2	92.8	91.4	88.2	86.0	87.4	85.5	86.0	89.1	88.1	86.6	86.4	5.12	5.41	5.50	6.83	6.85	7.52	8.69	8.27	9.17	7.29	9.39	9.39	9.70	10.06	10.90	5.68	5.95	6.43	7.18	7.58	7.78	7.70	7.61	7.65	7.73	7.88	8.13	8.30	8.51	8.87	3.81	4.00	4.35	4.84	5.09	5.23	5.21	5.16	5.21	5.26	5.30	5.48	5.58	5.71	5.93	-	104.8	108.1	111.7	105.6	102.6	99.0	98.8	100.5	101.0	101.7	103.2	102.1	102.5	104.2	-	105.0	108.8	111.3	105.2	102.8	99.6	99.0	101.0	101.9	100.6	103.4	101.8	102.3	103.9	5.0	0.8	5.2	5.0	5.5	6.2	1.4	5.3	10.7	8.2	7.7	2.4	0.9	0.5	14.7	4.0	5.1	7.4	14.8	8.7	8.1	6.3	8.1	8.7	8.7	7.8	10.0	9.7	10.0	9.2
"Beltinci"	920.13	989.23	1044.46	1070.86	1107.99	1136.32	1182.35	1191.19	1187.93	1214.93	1247.09	1267.73	1313.11	1360.31	1420.35	617.37	661.14	707.74	724.17	753.86	775.85	808.39	814.99	815.16	830.84	849.22	859.58	886.47	915.36	953.26	79.5	81.6	81.3	77.0	77.0	76.0	77.5	78.1	78.0	78.9	80.2	80.0	80.7	80.9	81.0	83.9	85.5	84.8	80.5	81.1	80.3	81.9	82.2	81.8	82.6	83.8	83.4	83.5	83.8	84.1	4.34	4.92	5.19	5.91	6.07	6.42	6.77	7.44	7.82	11.13	7.96	7.83	7.88	8.54	9.37	5.44	5.72	6.03	6.18	6.53	6.75	7.03	7.09	7.08	7.25	7.47	7.63	7.90	8.19	8.47	3.65	3.83	4.09	4.18	4.44	4.61	4.81	4.85	4.86	4.95	5.09	5.18	5.33	5.51	5.69	-	105.1	105.4	102.5	105.7	103.4	104.1	100.9	99.9	102.4	103.2	102.1	103.5	103.7	103.4	-	104.9	106.8	102.2	106.2	103.8	104.3	100.8	100.2	101.8	102.8	101.8	102.9	103.4	103.3	6.2	6.5	7.7	9.2	17.2	9.6	6.1	7.3	9.1	10.8	9.5	8.3	7.8	6.3	8.8	3.6	11.7	13.6	21.3	12.5	10.6	15.0	15.5	12.6	12.1	9.3	9.7	11.3	11.9	13.1
"Benedikt"	1045.79	1106.01	1217.95	1254.51	1272.81	1350.47	1368.42	1362.17	1332.31	1365.07	1345.98	1390.23	1411.42	1388.28	1446.04	688.86	730.72	817.51	836.36	852.68	903.57	918.12	917.47	905.37	925.57	911.88	939.26	950.53	934.30	966.69	90.4	91.2	94.8	90.2	88.5	90.3	89.8	89.3	87.5	88.6	86.5	87.7	86.8	82.6	82.4	93.6	94.5	98.0	92.9	91.7	93.5	93.0	92.5	90.8	92.1	90.0	91.2	89.5	85.5	85.3	6.10	5.57	4.86	5.06	5.69	7.75	8.71	8.23	7.38	6.59	8.46	7.87	9.00	8.72	8.96	6.26	6.61	7.26	7.47	7.65	8.17	8.33	8.24	8.03	8.20	8.10	8.24	8.44	8.58	8.89	4.12	4.37	4.88	4.98	5.13	5.47	5.59	5.55	5.46	5.56	5.49	5.56	5.68	5.78	5.95	-	105.6	109.8	102.9	102.4	106.8	102.0	98.9	97.5	102.1	98.5	101.7	102.4	101.7	103.6	-	106.1	111.7	102.0	103.0	106.6	102.2	99.3	98.4	99.8	98.6	101.3	102.2	101.8	102.9	6.8	6.2	2.5	3.6	27.6	23.4	9.8	15.1	11.5	19.5	13.8	10.8	17.7	3.2	8.7	4.4	2.3	1.0	2.4	1.5	1.6	1.7	2.2	2.3	1.9	2.1	2.6	2.3	5.1	5.4
"Bistrica ob Sotli"	936.64	1003.35	1159.50	1242.74	1309.72	1350.87	1307.97	1327.07	1351.43	1343.62	1358.24	1348.08	1420.16	1485.85	1585.62	634.89	679.40	785.46	842.48	881.26	908.28	888.27	900.91	918.69	910.77	917.68	908.67	954.98	990.28	1042.67	80.9	82.7	90.2	89.3	91.0	90.4	85.8	87.0	88.7	87.2	87.3	85.1	87.3	88.4	90.4	86.3	87.8	94.1	93.6	94.8	94.0	90.0	90.9	92.1	90.6	90.6	88.2	89.9	90.6	92.0	4.69	5.55	7.68	10.03	11.86	12.21	10.13	11.43	9.99	9.99	9.42	10.00	10.10	10.67	11.58	5.47	5.92	6.77	7.32	8.03	8.08	7.90	7.83	8.02	8.03	8.10	8.08	8.53	8.94	9.59	3.71	4.01	4.59	4.96	5.40	5.43	5.37	5.31	5.45	5.44	5.47	5.44	5.74	5.96	6.31	-	108.2	114.4	108.1	109.7	100.6	97.8	99.1	102.4	100.1	100.6	99.8	105.6	104.8	107.3	-	108.1	114.5	108.1	108.9	100.6	98.9	98.9	102.6	100.9	100.4	99.5	105.5	103.8	105.9	0.7	3.2	3.7	9.4	8.3	11.1	3.6	3.2	1.4	0.6	0.2	3.4	3.4	4.0	0.6	28.0	23.4	20.9	8.0	8.4	8.1	7.8	9.6	13.6	12.0	12.9	7.3	10.8	9.3	9.9
"Bled"	1071.12	1126.34	1215.61	1377.76	1396.66	1424.25	1459.37	1455.93	1461.22	1481.48	1429.83	1467.50	1539.73	1612.65	1668.38	688.76	727.13	791.68	889.74	899.51	925.35	949.81	950.62	961.79	974.93	940.96	963.03	1009.22	1051.54	1083.43	92.6	92.9	94.6	99.0	97.1	95.3	95.7	95.4	95.9	96.2	91.9	92.6	94.6	95.9	95.1	93.6	94.0	94.9	98.9	96.7	95.7	96.2	95.9	96.5	97.0	92.9	93.5	95.0	96.2	95.6	6.33	6.60	7.75	8.65	11.41	11.97	9.57	9.69	11.09	11.81	11.33	12.82	13.25	13.92	14.23	6.37	6.67	7.20	8.10	8.35	8.48	8.66	8.66	8.68	8.77	8.51	8.81	9.28	9.71	10.00	4.10	4.31	4.69	5.23	5.38	5.51	5.64	5.65	5.72	5.77	5.60	5.78	6.08	6.33	6.50	-	104.7	107.9	112.5	103.1	101.6	102.1	100.0	100.2	101.0	97.1	103.5	105.3	104.6	103.0	-	105.1	108.8	111.5	102.9	102.4	102.4	100.2	101.2	97.8	97.1	103.2	105.2	104.1	102.7	6.2	4.6	5.0	8.7	9.9	8.7	6.1	6.3	6.6	7.5	4.8	8.3	7.2	6.7	5.5	8.9	11.6	13.0	13.3	8.1	8.4	10.0	14.1	11.9	13.6	15.4	16.0	14.8	15.1	15.0
"Bloke"	1039.02	1099.84	1128.86	1208.85	1126.34	1131.90	1077.84	1126.41	1169.89	1130.82	1144.14	1222.67	1302.67	1391.41	1502.13	692.95	732.48	765.78	817.01	764.04	763.88	740.13	777.41	800.06	776.24	783.15	829.21	881.85	933.69	997.50	89.8	90.7	87.9	86.9	78.3	75.7	70.7	73.8	76.8	73.4	73.5	77.2	80.1	82.7	85.6	94.2	94.7	91.8	90.8	82.2	79.0	75.0	78.4	80.2	77.2	77.3	80.5	83.0	85.4	88.0	6.19	6.67	7.23	7.86	7.35	6.86	7.16	8.11	8.56	8.55	8.19	8.56	9.68	11.07	13.49	6.02	6.27	6.61	7.02	7.02	6.85	6.70	7.12	7.23	7.05	7.03	7.49	7.96	8.40	9.06	4.02	4.18	4.49	4.74	4.76	4.62	4.60	4.91	4.95	4.84	4.81	5.08	5.39	5.63	6.02	-	104.2	105.4	106.2	100.0	97.6	97.8	106.3	101.5	97.5	99.9	106.5	106.3	105.5	107.9	-	104.0	107.4	105.6	100.4	97.1	99.6	106.7	100.8	100.6	99.6	105.6	106.1	104.5	106.9	3.0	3.0	6.0	7.6	8.8	11.1	3.0	2.8	11.3	5.0	5.0	5.4	6.2	3.1	3.4	31.9	35.2	25.2	16.9	2.2	2.4	5.3	3.1	6.6	5.7	6.7	4.7	4.2	3.4	2.6
"Bohinj"	858.57	919.75	988.36	1065.67	1081.91	1112.29	1148.45	1148.95	1170.04	1179.24	1169.12	1211.92	1270.18	1335.03	1406.27	580.67	624.89	672.96	727.87	734.25	758.08	786.03	786.86	804.38	812.21	798.95	828.48	865.32	901.80	942.68	74.2	75.8	76.9	76.6	75.2	74.4	75.3	75.3	76.8	76.6	75.1	76.5	78.1	79.4	80.2	78.9	80.8	80.6	80.9	79.0	78.4	79.6	79.4	80.7	80.8	78.9	80.4	81.5	82.5	83.2	5.22	5.81	6.20	9.04	7.68	8.35	7.84	6.71	7.89	8.90	6.82	7.09	7.23	7.74	8.60	5.07	5.41	5.81	6.25	6.51	6.68	6.81	6.82	6.94	6.97	6.95	7.24	7.62	8.00	8.46	3.43	3.67	3.95	4.27	4.42	4.56	4.66	4.67	4.77	4.80	4.75	4.95	5.19	5.40	5.67	-	106.7	107.4	107.6	104.2	102.6	101.9	100.1	101.8	100.4	99.7	104.2	105.2	105.0	105.8	-	107.0	107.6	108.1	103.5	103.2	102.2	100.2	102.1	94.2	99.0	104.2	104.8	104.0	105.0	7.0	5.2	4.4	3.2	8.2	7.3	13.0	13.1	12.7	12.3	15.0	13.6	9.8	3.5	6.8	13.7	14.8	14.8	10.2	5.2	5.0	6.1	6.3	6.9	10.6	11.8	14.4	14.3	12.2	11.3
