Kraj,Regija
Cerkno,Primorska
Dolenje Jezero,Osrednjeslovenska
Jazbina,Štajerska
Ljubljana,Osrednjeslovenska
Šempeter v Savinj. dolini,Savinjska
Morje,Štajerska
Gornje Retje,Osrednjeslovenska
Cerknica,Osrednjeslovenska
Trbovlje,Osrednjeslovenska
Ravne na Koroškem,Štajerska
Kamnik,Osrednjeslovenska
Prevalje,Štajerska
Trebnje,Prekmurje
Vareja,Štajerska
Nova vas,Osrednjeslovenska
Slovenske Konjice,Savinjska
Škofja Loka,Gorenjska
Slovenska vas,Prekmurje
Veliko Mlačevo,Osrednjeslovenska
Stahovica,Osrednjeslovenska
Radovljica,Gorenjska
Dol pri Hrastniku,Osrednjeslovenska
Trzin,Osrednjeslovenska
Domžale,Osrednjeslovenska
Miren,Primorska
Kočevje,Osrednjeslovenska
Poljana,Štajerska
Fram,Štajerska
Škale,Savinjska
Rovte,Osrednjeslovenska
Velenje,Savinjska
Renče,Primorska
Bovec,Primorska
Loče,Savinjska
Žalec,Savinjska
Lovrenc na Pohorju,Štajerska
Javorje,Osrednjeslovenska
Stržišče,Primorska
Nazarje,Savinjska
Vinska Gora,Savinjska
Gradišče,Štajerska
Zgornja Polskava,Štajerska
Tržič,Gorenjska
Mojstrana,Gorenjska
Jesenice,Gorenjska
Križe,Gorenjska
Kebelj,Štajerska
Ajdovščina,Primorska
Podboršt pri Komendi,Osrednjeslovenska
Ilirska Bistrica,Primorska
Postojna,Primorska
Polhov Gradec,Osrednjeslovenska
Zgornje Jezersko,Gorenjska
Litija,Osrednjeslovenska
Mala Loka,Osrednjeslovenska
Krško,Prekmurje
Brdo pri Lukovici,Osrednjeslovenska
Šmarje pri Jelšah,Savinjska
Loke,Savinjska
Rogaška Slatina,Savinjska
Brežice,Prekmurje
Zagorje ob Savi,Osrednjeslovenska
Neverke,Primorska
Vrhnika,Osrednjeslovenska
Ptuj,Štajerska
Drenov Grič,Osrednjeslovenska
Logatec,Osrednjeslovenska
Solkan,Primorska
Okroglo,Gorenjska
Naklo,Gorenjska
Medvode,Osrednjeslovenska
Polzela,Savinjska
Šmartno ob Paki,Savinjska
Uršna sela,Prekmurje
Bloška Polica,Osrednjeslovenska
Učakovci,Prekmurje
Vransko,Savinjska
Vipava,Primorska
Mežica,Štajerska
Slovenska Bistrica,Štajerska
Senovo,Prekmurje
Moravče,Osrednjeslovenska
Črna na Koroškem,Štajerska
Šentjur,Savinjska
Dragomer,Osrednjeslovenska
Hrastnik,Osrednjeslovenska
Borovnica,Osrednjeslovenska
Pivka,Primorska
Kostanjevica na Krki,Prekmurje
Gorica pri Slivnici,Savinjska
Vojnik,Savinjska
Vuzenica,Štajerska
Sevnica,Prekmurje
Dobrovo,Primorska
Bistričica,Osrednjeslovenska
Žirovnica,Gorenjska
Horjul,Osrednjeslovenska
Videm pri Ptuju,Štajerska
Sveti Vid,Osrednjeslovenska
Markovci,Štajerska
