"MUNICIPALITIES","2000 Labour migration index","2001 Labour migration index","2002 Labour migration index","2003 Labour migration index","2004 Labour migration index","2005 Labour migration index","2006 Labour migration index","2007 Labour migration index","2008 Labour migration index","2009 Labour migration index","2010 Labour migration index","2011 Labour migration index","2012 Labour migration index","2013 Labour migration index","2014 Labour migration index","2015 Labour migration index","2016 Labour migration index","2017 Labour migration index","2018 Labour migration index","2019 Labour migration index"
"SLOVENIA",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Ajdovščina",95.6,96.6,93.8,92.2,90.5,90.6,90.3,89.1,87.0,86.2,84.3,83.6,75.9,75.7,75.1,74.5,76.8,78.2,79.1,84.0
"Ankaran/Ancarano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.1,69.2,66.7,69.0,72.1
"Apače",-,-,-,-,-,-,-,31.4,33.3,35.8,36.3,37.7,41.0,40.5,41.5,41.7,41.6,41.6,41.9,41.6
"Beltinci",41.0,41.9,41.2,42.8,44.6,44.0,45.3,46.9,44.8,48.3,41.4,43.4,40.8,41.5,42.1,42.3,41.1,40.0,42.0,41.0
"Benedikt",27.2,29.1,29.2,26.6,28.2,28.2,30.2,29.3,29.8,29.3,31.3,30.6,32.3,33.1,35.5,35.2,38.1,36.9,37.9,38.5
"Bistrica ob Sotli",74.1,68.5,77.4,75.0,84.8,81.2,47.4,59.7,58.2,51.6,59.1,57.6,56.8,58.0,57.2,57.9,58.6,56.4,55.8,54.4
"Bled",84.2,88.9,89.9,87.5,88.3,85.9,86.4,103.3,109.1,105.0,101.2,98.5,98.0,91.8,91.8,90.1,89.0,91.7,90.3,88.8
"Bloke",45.8,51.1,54.6,54.1,62.2,68.7,74.7,81.2,93.8,96.1,72.3,59.7,48.5,33.1,33.5,32.7,36.2,32.0,30.3,29.8
"Bohinj",64.1,63.0,63.9,63.4,62.8,62.1,60.4,58.8,58.8,62.1,62.4,60.4,57.8,60.6,62.8,64.7,66.3,67.5,67.9,67.8
"Borovnica",30.1,30.1,29.6,30.3,29.9,31.5,30.9,30.8,38.5,41.7,42.9,36.8,40.5,33.7,35.3,37.6,35.9,38.4,39.6,39.6
"Bovec",81.3,80.9,85.4,85.0,84.6,83.2,83.2,85.6,84.9,86.1,81.6,87.0,88.8,88.6,88.9,90.2,93.9,95.7,95.2,96.5
"Braslovče",32.7,32.2,32.0,34.8,34.8,31.8,34.0,35.1,34.7,34.8,34.5,35.1,34.9,37.3,38.1,37.9,37.3,37.0,37.6,37.8
"Brda",31.3,30.8,31.4,32.1,30.8,30.0,29.7,31.9,33.3,37.2,38.2,39.8,37.9,38.7,40.1,40.7,41.6,40.6,41.7,42.9
"Brezovica",38.3,37.8,40.2,42.4,42.2,42.9,45.8,48.4,47.9,48.0,46.8,47.5,47.5,50.8,51.4,52.2,51.4,57.0,60.5,60.0
