"SPOL","OBČINE","2011 Brez izobrazbe, nepopolna osnovnošolska","2011 Osnovnošolska","2011 Srednješolska - Skupaj","2011 Višješolska, visokošolska - Skupaj","2012 Brez izobrazbe, nepopolna osnovnošolska","2012 Osnovnošolska","2012 Srednješolska - Skupaj","2012 Višješolska, visokošolska - Skupaj","2013 Brez izobrazbe, nepopolna osnovnošolska","2013 Osnovnošolska","2013 Srednješolska - Skupaj","2013 Višješolska, visokošolska - Skupaj","2014 Brez izobrazbe, nepopolna osnovnošolska","2014 Osnovnošolska","2014 Srednješolska - Skupaj","2014 Višješolska, visokošolska - Skupaj","2015 Brez izobrazbe, nepopolna osnovnošolska","2015 Osnovnošolska","2015 Srednješolska - Skupaj","2015 Višješolska, visokošolska - Skupaj","2016 Brez izobrazbe, nepopolna osnovnošolska","2016 Osnovnošolska","2016 Srednješolska - Skupaj","2016 Višješolska, visokošolska - Skupaj","2017 Brez izobrazbe, nepopolna osnovnošolska","2017 Osnovnošolska","2017 Srednješolska - Skupaj","2017 Višješolska, visokošolska - Skupaj","2018 Brez izobrazbe, nepopolna osnovnošolska","2018 Osnovnošolska","2018 Srednješolska - Skupaj","2018 Višješolska, visokošolska - Skupaj","2019 Brez izobrazbe, nepopolna osnovnošolska","2019 Osnovnošolska","2019 Srednješolska - Skupaj","2019 Višješolska, visokošolska - Skupaj"
"Moški","Ajdovščina",229,2011,4929,975,209,1910,4859,1081,180,1829,4882,1113,170,1755,4846,1177,159,1700,4874,1207,154,1653,4922,1263,158,1612,4910,1326,145,1567,4935,1362,136,1514,5058,1406
"Moški","Ankaran/Ancarano",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,255,714,357,48,237,716,372,45,244,717,376,31,237,724,371,33,217,735,364
"Moški","Apače",103,458,915,84,100,442,932,92,90,434,932,99,82,432,937,106,75,414,939,111,74,394,946,117,71,370,945,128,70,353,951,129,68,347,954,136
"Moški","Beltinci",132,917,2084,334,106,905,2115,371,101,875,2145,390,95,851,2166,409,87,836,2159,427,85,816,2170,442,76,799,2159,463,80,768,2145,469,76,731,2147,477
"Moški","Benedikt",48,320,593,59,45,296,605,69,41,287,616,73,36,263,635,84,35,265,628,97,35,258,634,101,32,259,640,109,30,256,657,112,27,237,689,118
"Moški","Bistrica ob Sotli",35,181,313,56,34,167,314,64,33,167,316,68,29,160,319,68,29,165,321,71,28,159,319,76,24,154,323,73,23,152,323,75,23,134,333,72
"Moški","Bled",58,451,2180,720,59,435,2206,753,58,433,2172,759,58,437,2128,817,52,400,2098,839,51,370,2089,840,49,359,2035,885,46,341,2012,874,44,314,2011,889
"Moški","Bloke",35,168,410,92,35,162,413,101,33,157,422,103,29,144,413,112,28,145,409,112,26,125,415,115,21,118,422,121,20,114,416,122,17,108,439,125
"Moški","Bohinj",59,364,1514,278,55,335,1521,299,51,323,1531,308,45,332,1487,330,43,307,1466,356,40,291,1462,369,34,279,1473,384,29,281,1482,386,25,266,1485,395
"Moški","Borovnica",42,436,1050,200,39,399,1052,217,35,360,1080,222,31,352,1094,246,31,351,1125,255,30,336,1129,273,29,318,1141,303,28,309,1136,323,27,298,1166,329
