"OBČINE","2018 Odseljeni v druge občine na 1000 prebivalcev"
"SLOVENIJA",40.0
"Ajdovščina",31.8
"Ankaran/Ancarano",79.6
"Apače",41.9
"Beltinci",31.4
"Benedikt",42.2
"Bistrica ob Sotli",45.2
"Bled",50.9
"Bloke",42.5
"Bohinj",38.2
"Borovnica",46.6
"Bovec",43.9
"Braslovče",45.8
"Brda",37.1
"Brezovica",34.2
"Brežice",28.4
"Cankova",30.3
"Celje",54.7
"Cerklje na Gorenjskem",34.0
"Cerknica",32.0
"Cerkno",29.9
"Cerkvenjak",47.4
"Cirkulane",50.3
"Črenšovci",22.0
"Črna na Koroškem",36.7
"Črnomelj",35.7
"Destrnik",37.2
"Divača",50.8
"Dobje",45.7
"Dobrepolje",39.5
"Dobrna",34.2
"Dobrova - Polhov Gradec",28.6
"Dobrovnik/Dobronak",40.3
"Dol pri Ljubljani",35.4
"Dolenjske Toplice",35.4
"Domžale",38.3
"Dornava",34.2
"Dravograd",42.0
"Duplek",36.4
"Gorenja vas - Poljane",30.3
"Gorišnica",36.8
"Gorje",49.7
"Gornja Radgona",42.4
"Gornji Grad",44.6
"Gornji Petrovci",32.2
"Grad",29.6
"Grosuplje",44.0
"Hajdina",47.8
"Hoče - Slivnica",59.8
"Hodoš/Hodos",58.5
"Horjul",22.2
"Hrastnik",32.6
"Hrpelje - Kozina",36.8
"Idrija",28.7
"Ig",49.2
"Ilirska Bistrica",25.7
"Ivančna Gorica",33.9
"Izola/Isola",46.2
"Jesenice",32.3
"Jezersko",43.1
"Juršinci",38.9
"Kamnik",33.0
"Kanal",36.0
"Kidričevo",40.1
"Kobarid",37.8
"Kobilje",50.9
"Kočevje",29.8
"Komen",36.3
"Komenda",45.5
"Koper/Capodistria",37.4
"Kostanjevica na Krki",37.8
"Kostel",63.3
"Kozje",36.4
"Kranj",31.9
"Kranjska Gora",51.2
"Križevci",38.9
"Krško",38.3
"Kungota",50.9
"Kuzma",22.4
"Laško",38.8
"Lenart",43.3
"Lendava/Lendva",27.4
"Litija",38.6
"Ljubljana",43.5
"Ljubno",48.5
"Ljutomer",35.4
"Log - Dragomer",46.5
"Logatec",32.0
"Loška dolina",36.1
"Loški Potok",44.8
"Lovrenc na Pohorju",29.0
"Luče",40.5
"Lukovica",38.0
"Majšperk",40.2
"Makole",38.7
"Maribor",48.4
"Markovci",35.7
"Medvode",39.7
"Mengeš",46.1
"Metlika",32.5
"Mežica",45.1
"Miklavž na Dravskem polju",46.3
"Miren - Kostanjevica",37.1
"Mirna",47.1
"Mirna Peč",41.4
"Mislinja",36.9
"Mokronog - Trebelno",47.0
"Moravče",27.3
"Moravske Toplice",37.8
"Mozirje",41.8
"Murska Sobota",39.0
"Muta",39.7
"Naklo",38.9
"Nazarje",57.3
"Nova Gorica",38.9
"Novo mesto",38.5
"Odranci",26.3
"Oplotnica",28.6
"Ormož",38.4
"Osilnica",57.5
"Pesnica",52.3
"Piran/Pirano",58.4
"Pivka",31.3
"Podčetrtek",36.1
"Podlehnik",45.6
"Podvelka",31.0
"Poljčane",39.0
"Polzela",41.2
"Postojna",45.1
"Prebold",52.5
"Preddvor",38.5
"Prevalje",44.5
"Ptuj",42.4
"Puconci",37.4
"Rače - Fram",36.2
"Radeče",50.2
"Radenci",47.1
"Radlje ob Dravi",37.1
"Radovljica",31.7
"Ravne na Koroškem",39.4
"Razkrižje",41.6
"Rečica ob Savinji",50.9
"Renče - Vogrsko",38.0
"Ribnica",33.8
"Ribnica na Pohorju",51.8
"Rogaška Slatina",41.1
"Rogašovci",29.0
"Rogatec",52.8
"Ruše",41.7
"Selnica ob Dravi",31.0
"Semič",49.7
"Sevnica",36.4
"Sežana",37.1
"Slovenj Gradec",37.7
"Slovenska Bistrica",31.8
"Slovenske Konjice",41.2
"Sodražica",32.0
"Solčava",30.8
"Središče ob Dravi",40.6
"Starše",33.0
"Straža",44.1
"Sveta Ana",34.8
"Sveta Trojica v Slov. goricah",42.4
"Sveti Andraž v Slov. goricah",37.4
"Sveti Jurij ob Ščavnici",37.6
"Sveti Jurij v Slov. goricah",31.5
"Sveti Tomaž",33.7
"Šalovci",28.6
"Šempeter - Vrtojba",51.9
"Šenčur",41.4
"Šentilj",61.8
"Šentjernej",36.6
"Šentjur",37.9
"Šentrupert",100.7
"Škocjan",40.5
"Škofja Loka",29.6
"Škofljica",57.9
"Šmarje pri Jelšah",32.3
"Šmarješke Toplice",43.2
"Šmartno ob Paki",41.6
"Šmartno pri Litiji",35.5
"Šoštanj",43.9
"Štore",53.3
"Tabor",49.5
"Tišina",35.8
"Tolmin",38.4
"Trbovlje",31.4
"Trebnje",37.9
"Trnovska vas",40.4
"Trzin",52.8
"Tržič",29.2
"Turnišče",31.3
"Velenje",36.5
"Velika Polana",30.0
"Velike Lašče",40.2
"Veržej",56.3
"Videm",40.2
"Vipava",39.9
"Vitanje",40.4
"Vodice",28.3
"Vojnik",38.9
"Vransko",49.4
"Vrhnika",33.7
"Vuzenica",39.4
"Zagorje ob Savi",27.7
"Zavrč",149.0
"Zreče",45.6
"Žalec",41.3
"Železniki",33.0
"Žetale",47.7
"Žiri",33.4
"Žirovnica",43.6
"Žužemberk",36.3
