"STATISTIČNA REGIJA","STAROST","Spol - SKUPAJ 1990","Spol - SKUPAJ 1991","Spol - SKUPAJ 1992","Spol - SKUPAJ 1993","Spol - SKUPAJ 1994","Spol - SKUPAJ 1995","Spol - SKUPAJ 1996","Spol - SKUPAJ 1997","Spol - SKUPAJ 1998","Spol - SKUPAJ 1999","Spol - SKUPAJ 2000","Spol - SKUPAJ 2001","Spol - SKUPAJ 2002","Spol - SKUPAJ 2003","Spol - SKUPAJ 2004","Spol - SKUPAJ 2005","Spol - SKUPAJ 2006","Spol - SKUPAJ 2007","Spol - SKUPAJ 2008","Spol - SKUPAJ 2009","Spol - SKUPAJ 2010","Spol - SKUPAJ 2011","Spol - SKUPAJ 2012","Spol - SKUPAJ 2013","Spol - SKUPAJ 2014","Spol - SKUPAJ 2015","Spol - SKUPAJ 2016","Spol - SKUPAJ 2017","Spol - SKUPAJ 2018","Spol - SKUPAJ 2019","Spol - SKUPAJ 2020","Moški 1990","Moški 1991","Moški 1992","Moški 1993","Moški 1994","Moški 1995","Moški 1996","Moški 1997","Moški 1998","Moški 1999","Moški 2000","Moški 2001","Moški 2002","Moški 2003","Moški 2004","Moški 2005","Moški 2006","Moški 2007","Moški 2008","Moški 2009","Moški 2010","Moški 2011","Moški 2012","Moški 2013","Moški 2014","Moški 2015","Moški 2016","Moški 2017","Moški 2018","Moški 2019","Moški 2020","Ženske 1990","Ženske 1991","Ženske 1992","Ženske 1993","Ženske 1994","Ženske 1995","Ženske 1996","Ženske 1997","Ženske 1998","Ženske 1999","Ženske 2000","Ženske 2001","Ženske 2002","Ženske 2003","Ženske 2004","Ženske 2005","Ženske 2006","Ženske 2007","Ženske 2008","Ženske 2009","Ženske 2010","Ženske 2011","Ženske 2012","Ženske 2013","Ženske 2014","Ženske 2015","Ženske 2016","Ženske 2017","Ženske 2018","Ženske 2019","Ženske 2020"
"SLOVENIJA","Starost - SKUPAJ",1996377,1999945,1998912,1994084,1989408,1989477,1990266,1986989,1984923,1978334,1987755,1990094,1994026,1995033,1996433,1997590,2003358,2010377,2025866,2032362,2046976,2050189,2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,968252,970229,970033,967119,964460,964375,968074,968634,968160,963217,970812,972742,975002,975587,976802,977052,981465,986982,1000624,1003945,1014107,1014563,1016731,1019061,1020874,1022229,1023333,1025125,1027041,1038656,1051066,1028125,1029716,1028879,1026965,1024948,1025102,1022192,1018355,1016763,1015117,1016943,1017352,1019024,1019446,1019631,1020538,1021893,1023395,1025242,1028417,1032869,1035626,1038765,1039760,1040211,1040645,1040855,1040770,1039839,1042252,1044795
"SLOVENIJA","0-14 let",418239,411072,400855,390223,379419,368578,360472,348392,338068,328629,320374,313406,306721,299119,291510,286678,283221,281079,281081,284054,287275,290853,294149,298095,301053,304310,306390,308594,310677,313706,315802,214559,211000,205798,200366,194582,188751,184763,178514,173178,168512,164437,160945,157651,153846,149953,147317,145642,144600,144510,145974,147808,149702,151314,153462,154881,156607,157674,158666,159783,161389,162640,203680,200072,195057,189857,184837,179827,175709,169878,164890,160117,155937,152461,149070,145273,141557,139361,137579,136479,136571,138080,139467,141151,142835,144633,146172,147703,148716,149928,150894,152317,153162
"SLOVENIJA","15-64 let",1366532,1372530,1376488,1376316,1376354,1380754,1380748,1383189,1384429,1381118,1391981,1395282,1398757,1401260,1404768,1404428,1407263,1409667,1417938,1414279,1421436,1420392,1416347,1408581,1399926,1389178,1377696,1366875,1354941,1354148,1356055,680006,684333,687716,687825,688342,691004,694744,698687,700360,697288,705782,708267,710337,711663,714013,713718,716285,719149,729198,727258,732992,730685,727951,723921,719865,714206,708132,703235,697990,701435,706659,686526,688197,688772,688491,688012,689750,686004,684502,684069,683830,686199,687015,688420,689597,690755,690710,690978,690518,688740,687021,688444,689707,688396,684660,680061,674972,669564,663640,656951,652713,649396
"SLOVENIJA","65 + let",211606,216343,221569,227545,233635,240145,249046,255408,262426,268587,275400,281406,288548,294654,300155,306484,312874,319631,326847,334029,338265,338944,345000,352145,360106,369386,380102,390426,401262,413054,424004,73687,74896,76519,78928,81536,84620,88567,91433,94622,97417,100593,103530,107014,110078,112836,116017,119538,123233,126916,130713,133307,134176,137466,141678,146128,151416,157527,163224,169268,175832,181767,137919,141447,145050,148617,152099,155525,160479,163975,167804,171170,174807,177876,181534,184576,187319,190467,193336,196398,199931,203316,204958,204768,207534,210467,213978,217970,222575,227202,231994,237222,242237
"SLOVENIJA","0-4 let",125137,121552,117454,111588,106135,102410,100392,97451,95679,93646,91983,91279,90167,89623,88967,89462,89467,91011,92950,98266,102418,106582,109410,111342,110244,109314,107321,105456,103511,102306,100787,64192,62277,60236,57415,54576,52519,51487,50077,49080,48112,47401,47050,46510,46237,45868,45983,45971,46749,47701,50328,52666,54813,56205,57269,56785,56253,55201,54174,53183,52683,51930,60945,59275,57218,54173,51559,49891,48905,47374,46599,45534,44582,44229,43657,43386,43099,43479,43496,44262,45249,47938,49752,51769,53205,54073,53459,53061,52120,51282,50328,49623,48857
"SLOVENIJA","5-9 let",141617,137618,132955,130085,127970,124815,122329,118203,112544,107119,103555,100596,98181,96447,94685,92826,92375,91226,90828,90252,90964,90882,92470,94955,99662,103359,107505,110092,111564,110717,110259,72433,70538,67998,66405,65452,63990,62688,60598,57898,55073,53086,51648,50446,49451,48638,47801,47625,47048,46871,46564,46802,46747,47521,48788,51075,53192,55351,56604,57462,57090,56818,69184,67080,64957,63680,62518,60825,59641,57605,54646,52046,50469,48948,47735,46996,46047,45025,44750,44178,43957,43688,44162,44135,44949,46167,48587,50167,52154,53488,54102,53627,53441
"SLOVENIJA","10-14 let",151485,151902,150446,148550,145314,141353,137751,132738,129845,127864,124836,121531,118373,113049,107858,104390,101379,98842,97303,95536,93893,93389,92269,91798,91147,91637,91564,93046,95602,100683,104756,77934,78185,77564,76546,74554,72242,70588,67839,66200,65327,63950,62247,60695,58158,55447,53533,52046,50803,49938,49082,48340,48142,47588,47405,47021,47162,47122,47888,49138,51616,53892,73551,73717,72882,72004,70760,69111,67163,64899,63645,62537,60886,59284,57678,54891,52411,50857,49333,48039,47365,46454,45553,45247,44681,44393,44126,44475,44442,45158,46464,49067,50864
"SLOVENIJA","15-19 let",143945,146304,148185,148838,149654,150871,151773,150062,147875,144464,140869,136732,132727,130166,128647,125713,122479,119569,114568,109078,105735,102526,100129,98467,96814,94991,94654,93598,93057,92855,93729,73455,74824,75757,76210,76856,77550,78178,77553,76378,74163,72046,70022,67803,66369,65746,64435,62810,61489,59199,56260,54376,52645,51476,50523,49774,48982,48907,48371,48170,48080,48390,70490,71480,72428,72628,72798,73321,73595,72509,71497,70301,68823,66710,64924,63797,62901,61278,59669,58080,55369,52818,51359,49881,48653,47944,47040,46009,45747,45227,44887,44775,45339
"SLOVENIJA","20-24 let",150919,147412,143763,142001,141734,142443,145423,147307,148436,148757,151232,151770,150938,149233,146481,142413,139164,135712,135638,133901,132119,127304,123223,117470,111679,107718,104500,102222,101073,101940,103089,75189,73582,72040,71741,71828,72492,74254,75407,76328,76535,78191,78489,78051,77089,75433,72833,71487,69904,70889,69992,69356,66235,63743,60622,57434,55198,53591,52637,52221,53597,55214,75730,73830,71723,70260,69906,69951,71169,71900,72108,72222,73041,73281,72887,72144,71048,69580,67677,65808,64749,63909,62763,61069,59480,56848,54245,52520,50909,49585,48852,48343,47875
"SLOVENIJA","25-29 let",156118,157061,156474,154298,151753,149102,146987,143595,142329,141656,143700,146284,148818,149799,151240,152357,153401,153171,154193,151449,149639,145535,141362,138904,136799,132790,128172,123848,117900,114680,113876,77876,78373,78148,76551,75360,74196,74008,72649,72577,72108,73716,75374,76626,77210,78234,78648,79212,79543,81080,79392,78708,76436,73843,72336,71213,69046,66491,64210,61380,60359,60746,78242,78688,78326,77747,76393,74906,72979,70946,69752,69548,69984,70910,72192,72589,73006,73709,74189,73628,73113,72057,70931,69099,67519,66568,65586,63744,61681,59638,56520,54321,53130
