SPOL,OBÈINE,2008H1,2008H2,2009H1,2009H2,2010H1,2010H2,2011H1,2011H2,2012H1,2012H2,2013H1,2013H2,2014H1,2014H2,2015H1,2015H2,2016H1,2016H2,2017H1,2017H2,2018H1,2018H2,2019H1,2019H2 
Moški,Ajdovšèina,9419,9359,9471,9607,9622,9614,9641,9617,9586,9600,9570,9620,9543,9570,9593,9610,9621,9624,9659,9708,9699,9740,9825,9945
Moški,Ankaran/Ancarano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1585,1581,1578,1575,1586,1564,1564,1559,1554,1554
Moški,Apaèe,1803,1802,1797,1797,1797,1797,1794,1795,1803,1778,1791,1797,1800,1794,1785,1790,1779,1771,1759,1763,1755,1750,1755,1761
Moški,Beltinci,4174,4098,4094,4109,4108,4100,4099,4109,4126,4147,4132,4149,4150,4154,4133,4128,4126,4120,4109,4127,4090,4075,4051,4040
Moški,Benedikt,1187,1222,1226,1215,1219,1233,1236,1248,1242,1239,1239,1251,1243,1237,1241,1235,1241,1252,1237,1241,1256,1279,1295,1321
Moški,Bistrica ob Sotli,719,706,695,695,702,707,707,705,705,701,703,705,692,688,691,689,685,678,672,668,669,674,663,666
Moški,Bled,3969,3957,3992,3977,3974,3962,3951,3975,4006,3995,3990,4036,4024,3991,3969,3942,3926,3925,3907,3865,3842,3830,3843,3876
Moški,Bloke,881,852,838,825,829,829,837,837,841,843,847,846,843,838,833,819,822,821,819,820,817,814,833,841
Moški,Bohinj,2592,2558,2573,2598,2613,2598,2602,2588,2586,2586,2597,2588,2576,2580,2559,2561,2556,2548,2560,2567,2575,2553,2562,2577
Moški,Borovnica,1939,1936,1972,1987,1992,2015,2012,2011,1995,1998,1996,2037,2072,2098,2127,2149,2151,2155,2208,2237,2230,2226,2266,2309
Moški,Bovec,1619,1560,1563,1585,1580,1611,1606,1582,1558,1564,1574,1568,1565,1555,1550,1546,1539,1522,1512,1509,1502,1505,1502,1520
Moški,Braslovèe,2582,2585,2558,2566,2591,2621,2647,2688,2683,2708,2700,2716,2726,2735,2736,2743,2751,2789,2799,2809,2795,2783,2794,2824
Moški,Brda,2859,2834,2838,2845,2847,2854,2845,2848,2862,2856,2839,2841,2821,2823,2804,2795,2797,2804,2794,2802,2807,2815,2804,2821
Moški,Brezovica,5090,5187,5247,5319,5368,5450,5535,5597,5621,5687,5739,5767,5788,5825,5841,5873,5905,5927,5967,5987,6034,6108,6171,6261
Moški,Brežice,11973,11870,11892,11950,11942,11926,11938,11965,11946,11932,11916,11925,11965,11935,11920,11939,11957,11954,11944,11884,11879,11893,11946,12027
Moški,Cankova,973,938,930,927,923,920,912,919,922,917,912,915,906,906,903,906,895,876,881,876,863,858,851,848
Moški,Celje,24311,23816,24122,24198,24110,24048,23904,23812,23843,23921,23958,23997,24158,24175,24133,24178,24345,24483,24590,24662,24752,24888,24803,24945
Moški,Cerklje na Gorenjskem,3350,3375,3407,3460,3516,3542,3548,3546,3571,3579,3597,3654,3688,3693,3703,3725,3767,3766,3774,3789,3805,3812,3830,3877
Moški,Cerknica,5521,5527,5508,5619,5630,5662,5680,5706,5739,5737,5675,5694,5686,5707,5733,5750,5728,5794,5817,5813,5808,5819,5866,5913
Moški,Cerkno,2502,2442,2407,2425,2431,2431,2433,2451,2458,2455,2442,2441,2416,2403,2392,2382,2370,2367,2352,2345,2334,2324,2319,2326
Moški,Cerkvenjak,1091,1068,1063,1055,1062,1061,1056,1035,1030,1031,1022,1016,1038,1058,1073,1071,1072,1074,1097,1090,1071,1084,1095,1110
Moški,Cirkulane,1134,1124,1145,1144,1149,1152,1170,1172,1163,1161,1181,1178,1206,1204,1216,1202,1193,1204,1238,1232,1246,1267,1306,1280
Moški,Èrenšovci,2175,2122,2108,2095,2098,2104,2087,2087,2078,2057,2031,2007,2010,2011,2001,1984,1992,1968,1960,1964,1952,1976,1970,1978
Moški,Èrna na Koroškem,1771,1871,1849,1858,1833,1826,1803,1820,1813,1788,1786,1781,1744,1727,1712,1698,1705,1694,1680,1680,1677,1667,1678,1670
Moški,Èrnomelj,7472,7378,7409,7399,7399,7429,7457,7465,7426,7412,7374,7423,7411,7421,7413,7380,7333,7307,7264,7251,7265,7258,7305,7310
Moški,Destrnik,1320,1312,1312,1347,1341,1329,1324,1323,1309,1301,1291,1310,1312,1297,1291,1300,1286,1294,1296,1294,1294,1315,1321,1336
Moški,Divaèa,2055,2014,2003,2022,2008,2045,2034,2032,2039,2042,2031,2055,2058,2084,2078,2061,2061,2073,2082,2124,2134,2141,2166,2175
Moški,Dobje,478,461,460,464,470,475,478,475,479,479,476,477,471,472,479,473,470,471,477,464,464,462,469,464
Moški,Dobrepolje,1886,1909,1920,1931,1946,1966,1974,2011,2012,2033,2021,2015,2026,2013,2016,2019,2000,2007,2008,2018,2016,2004,2015,2011
Moški,Dobrna,1063,1107,1113,1111,1126,1129,1122,1123,1127,1119,1119,1116,1124,1112,1097,1114,1108,1132,1126,1125,1121,1124,1129,1141
Moški,Dobrova - Polhov Gradec,3542,3550,3604,3638,3660,3668,3675,3711,3740,3735,3776,3782,3742,3772,3790,3814,3804,3806,3807,3834,3836,3813,3826,3897
Moški,Dobrovnik/Dobronak,651,650,631,634,626,626,629,630,631,639,632,621,618,623,624,619,610,608,618,617,620,620,619,617
