"OBČINE","LETO","Število prebivalcev - 1. julij","Število moških - 1. julij","Število žensk - 1. julij","Gostota naseljenosti - 1. julij","Živorojeni (na 1.000 prebivalcev)","Umrli (na 1.000 prebivalcev)","Naravni prirast (na 1.000 prebivalcev)","Skupni selitveni prirast (na 1.000 prebivalcev)","Skupni prirast (na 1.000 prebivalcev)","Povprečna starost prebivalcev - 1. julij","Število študentov (po prebivališču)","Število delovno aktivnih prebivalcev (po delovnem mestu)","Stopnja delovne aktivnosti (%)","Število podjetij"
"Slovenija","2008",2022629,996969,1025660,100,10.8,9.1,1.7,9.2,10.9,41.2,114391,879257,61.9,152541
"Slovenija","2009",2042335,1011767,1030568,101,10.7,9.2,1.5,5.6,7.2,41.4,114873,858171,60.5,160931
"Slovenija","2010",2049261,1014716,1034545,101,10.9,9.1,1.8,-0.3,1.6,41.6,107134,835039,58.8,165595
"Slovenija","2011",2052496,1015430,1037066,101,10.7,9.1,1.6,1.0,2.6,41.8,104003,823967,58.1,169360
"Slovenija","2012",2056262,1017414,1038848,101,10.7,9.4,1.3,0.3,1.6,42.0,99877,810001,57.4,173305
"Slovenija","2013",2059114,1019658,1039456,102,10.3,9.4,0.9,0.2,1.1,42.2,92769,793597,56.5,182089
"Slovenija","2014",2061623,1021419,1040204,102,10.3,9.2,1.1,-0.2,0.9,42.4,85616,797792,57.2,186433
"Slovenija","2015",2063077,1022554,1040523,102,10.0,9.6,0.4,0.2,0.6,42.6,80798,804637,58.2,191863
"Slovenija","2016",2064241,1023872,1040369,102,9.9,9.5,0.3,0.5,0.8,42.9,79547,817209,59.6,196072
"Slovenija","2017",2066161,1025973,1040188,102,9.8,9.9,-0.1,0.6,0.5,43.1,76534,845454,62.1,195756
"Slovenija","2018",2070050,1030234,1039816,102,9.5,9.9,-0.4,7.2,6.8,43.3,75991,872772,64.5,200174
"Ajdovščina","2008",18600,9359,9241,76,11.7,8.2,3.5,-1.2,2.4,40.7,1152,7102,62.5,1408
"Ajdovščina","2009",18822,9607,9215,77,11.9,8.3,3.6,3.6,7.1,40.9,1178,6988,62.0,1512
